67	Evolution Tower (Moscow, Russia)	https://media.architecturaldigest.com/photos/5d76c7266c05d1000ae1dff8/master/w_1920%2Cc_limit/GettyImages-664617586.jpg
68	Agbar Tower (Barcelona, Spain)	https://media.architecturaldigest.com/photos/5d77c59553bb990008f63d35/master/w_1920%2Cc_limit/GettyImages-544009992.jpg
69	Tokyo Skytree (Tokyo, Japan)	https://media.architecturaldigest.com/photos/5d77e96ed6d1d60008832ccc/master/w_1920%2Cc_limit/GettyImages-513939550.jpg
70	Shanghai World Finance Center (Shanghai, China)	https://media.architecturaldigest.com/photos/5d77ea32d6d1d60008832cce/master/w_1920%2Cc_limit/GettyImages-471443271.jpg
71	Abraj Al-Bait Tower (Mecca, Saudi Arabia)	https://media.architecturaldigest.com/photos/5d77ea37d6d1d60008832cd0/master/w_1920%2Cc_limit/GettyImages-154520399.jpg
72	John Hancock Center (Chicago, Illinois)	https://media.architecturaldigest.com/photos/5d77eaa8d6d1d60008832cd2/master/w_1920%2Cc_limit/John%2520Hancock%2520Center.jpg
73	Turning Torso (Malmö, Sweden)	https://media.architecturaldigest.com/photos/5d780c33d6d1d60008832d72/master/w_1920%2Cc_limit/Turning%2520Torso.jpg
74	Taipei 101 (Taipei, Taiwan)	https://media.architecturaldigest.com/photos/5d780c786a50050009d4f4bd/master/w_1920%2Cc_limit/GettyImages-523037391.jpg
75	Canton Tower (Guangzhou, China)	https://media.architecturaldigest.com/photos/5d7810fa53bb990008f63dc0/master/w_1920%2Cc_limit/GettyImages-887064298.jpg
76	Petronas Twin Towers (Kuala Lumpur, Malaysia)	https://media.architecturaldigest.com/photos/5d7811306c05d1000ae1e0a3/master/w_1920%2Cc_limit/GettyImages-509105016.jpg
77	Space Needle (Seattle, Washington)	https://media.architecturaldigest.com/photos/5d7811bad6d1d60008832d7b/master/w_1920%2Cc_limit/GettyImages-530874379.jpg
78	Oriental Pearl Tower (Shanghai, China)	https://media.architecturaldigest.com/photos/5d793bced6d1d60008832db3/master/w_1920%2Cc_limit/GettyImages-976286958.jpg
79	CN Tower (Toronto, Ontario)	https://media.architecturaldigest.com/photos/5d793c12d6d1d60008832db5/master/w_1920%2Cc_limit/CN%2520Tower.jpg
80	Burj Al Arab Jumeirah (Dubai, United Arab Emirates)	https://media.architecturaldigest.com/photos/5d793c3d6c05d1000ae1e111/master/w_1920%2Cc_limit/Burj%2520Al%2520Arab%2520Jumeirah.jpg
81	Jin Mao Tower (Shanghai, China)	https://media.architecturaldigest.com/photos/5d793cd1d6d1d60008832db7/master/w_1920%2Cc_limit/GettyImages-85431941.jpg
82	The Shard (London, England)	https://media.architecturaldigest.com/photos/5d793d3dd6d1d60008832db9/master/w_1920%2Cc_limit/GettyImages-482667566.jpg
83	Shanghai Tower (Shanghai, China)	https://media.architecturaldigest.com/photos/5d793e316c05d1000ae1e113/master/w_1920%2Cc_limit/Shanghai%2520Tower.jpg
84	Burj Khalifa (Dubai, United Arab Emirates)	https://media.architecturaldigest.com/photos/5d793e4d53bb990008f63e4b/master/w_1920%2Cc_limit/Burj%2520Khalifa.jpg
85	Empire State Building (New York, New York)	https://media.architecturaldigest.com/photos/5d793ee453bb990008f63e4d/master/w_1920%2Cc_limit/GettyImages-491101726.jpg
86	Chrysler Building (New York, New York)	https://media.architecturaldigest.com/photos/5d793f5853bb990008f63e4f/master/w_1920%2Cc_limit/GettyImages-182884126.jpg
87	One World Trade Center (New York, New York)	https://media.architecturaldigest.com/photos/5d793fd7d6d1d60008832dbb/master/w_1920%2Cc_limit/GettyImages-529106152.jpg
88	Országház	https://www.hellovidek.hu/images/site/articles/inline/2018/12/1544787557-2s9jIx8iG_md.jpg
89	Nagyboldogasszony- és Szent Adalbert-főszékesegyház ~ Esztergomi Bazilika	https://www.hellovidek.hu/images/site/articles/inline/2018/12/1544787576-o3k5A0WzT_md.jpg
90	Szent István-bazilika	https://www.hellovidek.hu/images/site/articles/inline/2018/12/1544787538-1JaRdw0wj_md.jpg
